INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
         -0.002282       -0.000337       -0.001090
         -0.001665       -0.000556       -0.001147
         -0.001662       -0.000782       -0.001881
         -0.001417       -0.000772       -0.002507
         -0.000381       -0.000438       -0.002536
          0.000790        0.000065       -0.002418
          0.001310        0.000676       -0.002540
          0.001411        0.001369       -0.002669
          0.001806        0.001729       -0.002575
          0.002485        0.001307       -0.002334
          0.002863        0.000415       -0.002017
          0.002904       -0.000172       -0.001647
          0.003181       -0.000315       -0.001282
          0.003811       -0.000592       -0.000948
          0.004259       -0.001222       -0.000672
          0.004314       -0.001614       -0.000519
          0.004406       -0.001210       -0.000456
          0.004801       -0.000209       -0.000430
          0.005290        0.000882       -0.000559
          0.005740        0.001928       -0.000921
          0.006216        0.003071       -0.001281
          0.006554        0.004303       -0.001391
          0.006570        0.005429       -0.001239
          0.006599        0.006246       -0.000857
          0.007080        0.006539       -0.000311
          0.007723        0.006087        0.000074
          0.007838        0.004992        0.000084
          0.007443        0.003904        0.000082
          0.007313        0.003399        0.000448
          0.007883        0.003184        0.000895
          0.008746        0.002620        0.001005
          0.009356        0.001922        0.000977
          0.009799        0.001900        0.001185
          0.010484        0.002539        0.001542
          0.011303        0.003000        0.001793
          0.011666        0.003150        0.001916
          0.011445        0.003796        0.002003
          0.011192        0.005138        0.002126
          0.011254        0.006195        0.002286
          0.011470        0.006252        0.002344
          0.011723        0.005822        0.002251
          0.011938        0.005659        0.002232
          0.011791        0.005727        0.002367
          0.011287        0.005729        0.002320
          0.011072        0.005842        0.001870
          0.011439        0.006342        0.001342
          0.011771        0.007012        0.001177
          0.011497        0.007411        0.001378
          0.010880        0.007428        0.001631
          0.010506        0.007236        0.001853
          0.010567        0.006934        0.002398
          0.010843        0.006529        0.003572
          0.011073        0.006119        0.005104
          0.011226        0.005782        0.006412
          0.011422        0.005323        0.007322
          0.011591        0.004516        0.008126
          0.011426        0.003612        0.008886
          0.010850        0.003210        0.009123
          0.010153        0.003510        0.008469
          0.009440        0.003996        0.007262
          0.008452        0.004103        0.006107
          0.007229        0.003985        0.005167
          0.006279        0.004252        0.004276
          0.005724        0.005024        0.003428
          0.005065        0.005693        0.002860
          0.004140        0.005793        0.002947
          0.003475        0.005637        0.003921
          0.003388        0.005703        0.005395
          0.003513        0.005709        0.006455
          0.003357        0.004910        0.006506
          0.002751        0.003350        0.005761
          0.001780        0.002111        0.004880
